Published_date,Bid_closing_date,Tender_opening_date,Title,Organisation,Value
09-Sep-2023 04:00 PM,16-Sep-2023 06:00 PM,19-Sep-2023 04:00 PM,[31/CD-II/BSNL/Kol/2023-24] [31/CD-II/BSNL/Kol/2023-24][2023_BSNL_167179_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD","4,75,284"
09-Sep-2023 04:00 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:00 PM,[Procurement of Heavy Duty LT Capacitor at Bokajan Cement Factory of CCI] [BKJ/MM/ E-4215/23-24][2023_CCI_167184_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,NA
09-Sep-2023 04:00 PM,16-Sep-2023 03:00 PM,18-Sep-2023 11:00 AM,[Concession to Operate and Manage Vehicle Parking Facility-Collection of Parking Fees and Excess Time Fees Rights at Gwalior Airport] [CL-12034/7/2023-APD-NR-AGRA ][2023_AAI_167177_1],Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,"49,930"
09-Sep-2023 04:00 PM,16-Sep-2023 06:00 PM,19-Sep-2023 04:00 PM,[31/CD-II/BSNL/Kol/2023-24] [31/CD-II/BSNL/Kol/2023-24][2023_BSNL_167179_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD","4,75,284"
09-Sep-2023 03:30 PM,30-Sep-2023 02:30 PM,03-Oct-2023 03:00 PM,[Supply of Colony CCTV System] [RCF/MM/120(23)][2023_CCI_167178_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI,NA
09-Sep-2023 03:30 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:00 PM,[Procurement of MS TMT BAR at Bokajan Cement Factory of CCI] [BKJ/MM/ Q-6680/23-24][2023_CCI_167180_1],Cement Corporation of India Limted||Bokajan Cement Factory - CCI,NA
09-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,16-Sep-2023 03:00 PM,[SUPPLY OF FORGINGS] [ILP/ AD2/ADF 110/48 TE-1022][2023_ILTD_167163_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),NA
09-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,16-Sep-2023 03:00 PM,[SUPPLY OF FORGINGS] [ILP/ AD2/ADF 110/48 TE-1021][2023_ILTD_167161_1],Instrumentation Ltd ( Govt of India Enterprise)||Palakkad ( Kerala),NA
09-Sep-2023 02:30 PM,20-Sep-2023 06:00 PM,22-Sep-2023 03:30 PM,[anr te water proofing treat] [11/BSNL/CD/FBR/CHN/2023-2024][2023_BSNL_167175_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Chennai Telephones District||SE Civil,"4,47,456"
09-Sep-2023 02:00 PM,23-Sep-2023 05:00 PM,25-Sep-2023 10:00 AM,[REPAIRS TO FLOOR IN CHERAN HOUSE ANNEXE(DINING HALL) BLDG NO.1203] [TE/CFA/07/EO/CIVIL/2023-24][2023_MIL_167172_1],Munitions India Limited||Cordite Factory Aruvankadu Aruvankadu Tamil Nadu,"2,88,980"
09-Sep-2023 02:00 PM,22-Sep-2023 12:00 PM,25-Sep-2023 02:00 PM,"[Term Contract for Civil and Joinery maintenance works at Ty-III, Ty-IV,Ty-V Qtrs at Park Estate of MSF Ishapore.Based on MES SSR 2020] [MSF/03R/2021-22/CO][2023_YIL_167166_1]",Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,"25,00,000"
09-Sep-2023 01:00 PM,30-Sep-2023 06:00 PM,03-Oct-2023 11:00 AM,"[Painting of Runway, Apron, Taxiway marking during the year 2023-24 at Kishangarh Airport] [AAI/KSG/AGM(C)/Rwy Paint/2023-24][2023_AAI_166304_1]",Airports Authority of India||Northern Region - AAI||KISHANGARH - AAI||ENGG CIVIL-KISHANGARH - AAI,"6,13,073"
09-Sep-2023 12:30 PM,18-Sep-2023 06:00 PM,20-Sep-2023 03:35 PM,[cani cls MTCE WORKS] [22/BSNL/CD-FBR/CHN/2023-24][2023_BSNL_167167_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Chennai Telephones District||SE Civil,"3,51,446"
09-Sep-2023 12:15 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[TRANSPORTATION OF BULK ANHYDROUS ETHANOL ] [HBL/TEN/23-24/222][2023_HPCLB_167165_1],HPCL Biofuels Limited||Purchase (Patna),NA
09-Sep-2023 12:00 PM,29-Sep-2023 02:00 PM,30-Sep-2023 02:30 PM,[Structural and Civil works at coal shed area and caustic lye Evaporator shed of REEP.] [12/24373][2023_IREL_166996_1],IREL (INDIA) Limited||Corporate Office Mumbai - IREL,"2,17,95,260"
09-Sep-2023 12:00 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:30 PM,[Annual Maintenance Contract of Crompton Greaves Make Digital EPABX System Model NE 1200 (200 lines) along with all Accessories at Narwapahar for 02 years] [NWP/966][2023_UCIL_167159_1],Uranium Corporation of India Limited||Works Contract- Jharkhand - UCIL||Narwapahar- Service,"1,88,000"
09-Sep-2023 12:00 PM,18-Sep-2023 06:00 PM,20-Sep-2023 03:35 PM,[Structural repair Anna road TE] [21/bsnl/cd-fbr/chn/2023-24][2023_BSNL_167143_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Chennai Telephones District||SE Civil,"5,24,940"
09-Sep-2023 12:00 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:30 PM,[Comprehensive Annual Maintenance Contract (C-AMC) for Hp Design jet plotters installed at Narwapahar Mine] [NWP/965][2023_UCIL_167156_1],Uranium Corporation of India Limited||Works Contract- Jharkhand - UCIL||Narwapahar- Service,"1,49,919"
09-Sep-2023 10:00 AM,18-Sep-2023 03:00 PM,19-Sep-2023 03:00 PM,[E-tender for Extra work sanctioned by Govt. P.G college Ramnagar Distt. Nainital Uttra Khand] [UPZ/UK/Ramnagar/23-24/616 ][2023_NPCC_167132_1],National Projects Construction Corporation Limited||UP Zone (Lucknow) - NPCC,NA
09-Sep-2023 10:00 AM,30-Sep-2023 03:00 PM,03-Oct-2023 01:00 PM,[Conbstruction of Class Room of 2 No Nawholia L P School Nawholia Dist Dibrugarh Assam] [NIB No 34 Dated 06/09/2023][2023_NEEPC_166801_2],North Eastern Electric Power Corporation Limited||Assam Gas Based Power Project-Assam - NEEPCO||DGM(Civil)-AGBPP - NEEPCO,NA
09-Sep-2023 10:00 AM,30-Sep-2023 03:00 PM,03-Oct-2023 01:00 PM,[Conbstruction of Class Room of 2 No Nawholia L P School Nawholia Dist Dibrugarh Assam] [NIB No 34 Dated 06/09/2023][2023_NEEPC_166801_1],North Eastern Electric Power Corporation Limited||Assam Gas Based Power Project-Assam - NEEPCO||DGM(Civil)-AGBPP - NEEPCO,NA
09-Sep-2023 10:00 AM,30-Sep-2023 03:00 PM,03-Oct-2023 01:00 PM,[Conbstruction of Class Room of 2 No Nawholia L P School Nawholia Dist Dibrugarh Assam] [NIB No 34 Dated 06/09/2023][2023_NEEPC_166801_1],North Eastern Electric Power Corporation Limited||Assam Gas Based Power Project-Assam - NEEPCO||DGM(Civil)-AGBPP - NEEPCO,NA
09-Sep-2023 09:30 AM,30-Sep-2023 02:30 PM,02-Oct-2023 12:30 PM,[Construction of Club Building of Shakti CLF kerekoni Gaon Bhadoi Panchali Dibrugarh Assam] [NIB NO 33 Dated 05/09/2023][2023_NEEPC_166668_2],North Eastern Electric Power Corporation Limited||Assam Gas Based Power Project-Assam - NEEPCO||DGM(Civil)-AGBPP - NEEPCO,NA
09-Sep-2023 09:30 AM,30-Sep-2023 02:30 PM,02-Oct-2023 12:30 PM,[Construction of Club Building of Shakti CLF kerekoni Gaon Bhadoi Panchali Dibrugarh Assam] [NIB NO 33 Dated 05/09/2023][2023_NEEPC_166668_1],North Eastern Electric Power Corporation Limited||Assam Gas Based Power Project-Assam - NEEPCO||DGM(Civil)-AGBPP - NEEPCO,NA
09-Sep-2023 09:00 AM,29-Sep-2023 01:00 PM,30-Sep-2023 02:00 PM,[EOI for Maintenance and upkeep of part of Telecom Infrastructure on Job basis in the area of SSA Buldhana under Aurangabad BA] [N-2/TDR/392/SERVICES /BULDHANA SSA/ZONE-IV/2023-24][2023_BSNL_167150_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Aurangabad","41,54,760"
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPCOSIOTLOT2KULLU][2023_WAPCO_167154_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPCOSLOTIOTSIRMOUR][2023_WAPCO_167153_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPCOSIOTLOT2MANDI][2023_WAPCO_167152_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPCOSIOTLOT2CHAMBA][2023_WAPCO_167151_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
09-Sep-2023 09:00 AM,29-Sep-2023 01:00 PM,30-Sep-2023 02:00 PM,[EOI for Maintenance and upkeep of part of Telecom Infrastructure on Job basis in the area of SSA Jalna under Aurangabad BA] [N-2/TDR/391/SERVICES /JALNA SSA/ZONE-III/2023-24 ][2023_BSNL_167149_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Aurangabad","41,80,881"
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPCOSIOTLOT2KANGRA][2023_WAPCO_167148_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
09-Sep-2023 09:00 AM,29-Sep-2023 01:00 PM,30-Sep-2023 02:00 PM,[Expression of Interest for Maintenance and upkeep of part of Telecom Infrastructure on Job basis in the area of SSA Aurangabad Urban under Aurangabad BA] [N-2/TDR/390/SERVICES /AURANGABAD URBAN/ZONE-II/202][2023_BSNL_167144_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Aurangabad","1,11,72,601"
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPCOSIOTLOT2KANGRA][2023_WAPCO_167148_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPCOSIOTLOT2SHIMLA][2023_WAPCO_167147_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
09-Sep-2023 09:00 AM,29-Sep-2023 01:00 PM,30-Sep-2023 02:00 PM,[Expression of Interest for Maintenance and upkeep of part of Telecom Infrastructure on Job basis in the area of SSA Aurangabad RURAL under Aurangabad BA] [N-2/TDR/389/SERVICES /AURANGABAD RURAL/ZONE-I/2023][2023_BSNL_167142_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Maharashtra Telecom Circle||GMTD, Aurangabad","49,38,648"
09-Sep-2023 09:00 AM,29-Sep-2023 11:30 AM,30-Sep-2023 11:30 AM,[SUPPLY INSTALLATION OF IOT BASED INSTRUMENTATION] [WAPIOTLOT2SOLAN][2023_WAPCO_167145_1],WAPCOS Limited||Centre for Business Development- Roads and Railways,NA
08-Sep-2023 06:55 PM,26-Oct-2023 11:00 AM,27-Oct-2023 11:30 AM,[BC overlay work on Barmer Sanchore Gujrat Border (upto Gandhav Bridge) section of NH 68 from Km. 153.034 to Km. 259.300 in the state of Rajasthan] [NHAI/11011/Tenders/ 2023-ROJ/overlay-BMGB][2023_NHAI_167141_1],National Highways Authority of India||RO-Jaipur - NHAI,"72,87,85,410"
08-Sep-2023 06:55 PM,21-Sep-2023 04:00 PM,22-Sep-2023 04:30 PM,"[The Extension of Block Veterinary Dispensary / Sub Block Veterinary Dispensary at Kulunga, Kundukela, Hemgiri, Kinjrikela, Badgaon in the Sundargarh Districts of Odisha] [NPCC/SEZ/CA/VET-SUN/357][2023_NPCC_167140_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
08-Sep-2023 06:50 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:00 AM,[EEE-III/RZ/TC/2023-24/09.1] [EEE-III/RZ/TC/2023-24/09.1][2023_MCD_167139_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"6,39,985"
08-Sep-2023 06:45 PM,13-Sep-2023 05:00 PM,14-Sep-2023 11:00 AM,[HP Jet Cleaning and Eddy Current Testing of Unit 1 condenser tubes (500MW Condenser)] [CS-5501][2023_NTECL_167122_1],NTECL,NA
08-Sep-2023 06:45 PM,14-Sep-2023 04:00 PM,15-Sep-2023 04:30 PM,"[Architectural and Engineering Consultancy Services for Construction of IPHL Building in the District of Mayurbhanj, Odisha] [NPCC/SEZ/AC/IPHL/MYR/358][2023_NPCC_167135_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
08-Sep-2023 06:45 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:00 PM,[Custom Chassis base 32 and 64 Channel RRH] [EE/RADH/012/2023/CH32AND64CH][2023_IITM_167134_1],Indian Institute of Technology Madras||Project Purchase - IITM,NA
08-Sep-2023 06:30 PM,14-Sep-2023 04:00 PM,15-Sep-2023 04:30 PM,"[Architectural and Engineering Consultancy Services for Construction of IPHL Building in the District of Balasore, Odisha] [NPCC/SEZ/AC/IPHL/BAL/356][2023_NPCC_167130_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
08-Sep-2023 06:20 PM,21-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,[Supply of Medical Cyclotron at AIIMS Jodhpur] [HITES/PCD/AIIMS/CYCLOTRON/08/ 23-24][2023_HLL_154323_3],HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,"1,00,00,00,000"
08-Sep-2023 06:15 PM,13-Sep-2023 03:00 PM,13-Sep-2023 03:30 PM,[detailed Investigation of TG deck and pedestals of unit I NTECL Vallur] [CS 5500][2023_NTECL_167128_1],NTECL,NA
08-Sep-2023 06:00 PM,14-Sep-2023 03:00 PM,16-Sep-2023 11:00 AM,[SITC of Panel] [113 / NIT/BSNL/GHED/2023-24][2023_BSNL_167037_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Assam Telecom Circle Guwahati||CE (Electrical)||EE (Elect), Guwahati","9,76,405"
08-Sep-2023 06:00 PM,29-Sep-2023 03:00 PM,30-Sep-2023 03:30 PM,[SLA Based Maintenance of Over Head and Under Ground Optical Fiber Cable of Chhatarpur OA under Sagar BA] [W-1-111/GMBA SAGAR/SLA BASED OFC MTCE/CPU/2023-24][2023_BSNL_167133_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal","30,84,500"
08-Sep-2023 06:00 PM,28-Sep-2023 10:30 AM,29-Sep-2023 11:00 AM,"[Procurement of spares for MDBFP Hydro coupling, Model R 18 KGS 14API] [DVC/DSTPS/TG Maint./00046][2023_DVC_167078_1]",Damodar Valley Corporation||DSTPS Andal - DVC||C and M,NA
08-Sep-2023 06:00 PM,18-Sep-2023 06:00 PM,20-Sep-2023 10:00 AM,[supply of HT Cable Jointing Kit] [JPL/CnM/23-24/1100011735][2023_JPL_167124_1],Jhabua Power Ltd,NA
08-Sep-2023 06:00 PM,18-Oct-2023 03:30 PM,19-Oct-2023 03:30 PM,[Reversible Solid Oxide Electrolyser (R_SOEC)Test Situation of Rating upto 2kW.] [P/NC/22/JM/SO(SB)/OTE/23-24][2023_CSIR_167107_1],Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR,NA
08-Sep-2023 06:00 PM,15-Sep-2023 02:00 PM,16-Sep-2023 02:30 PM,"[Supply of Radial, Axial and Bypass Seal for Air Preheater] [JPL/CnM/23-24/1100011709][2023_JPL_167095_1]",Jhabua Power Ltd,NA
08-Sep-2023 06:00 PM,20-Sep-2023 06:00 PM,22-Sep-2023 11:00 AM,[Provision of Interleaving Circuit for Approach light and allied electrical works at JPNI Airport Patna] [AAI/ER/PAT/AGM(E-E)/GLF Work/e-NIT-11/23-24][2023_AAI_167115_1],Airports Authority of India||Western Region - AAI||GONDIA - AAI||ENGG ELECT-VAGD - AAI,"25,65,421"
08-Sep-2023 06:00 PM,18-Sep-2023 06:00 PM,20-Sep-2023 10:00 AM,[supply of HT Cable Jointing Kit] [JPL/CnM/23-24/1100011735][2023_JPL_167124_1],Jhabua Power Ltd,NA
08-Sep-2023 06:00 PM,20-Sep-2023 12:00 PM,21-Sep-2023 12:00 PM,[DE/CN TX W-P/BSNLSRVCS/2023-2024/176 DT 08.09.23] [DE/CN TX W-P/BSNLSRVCS/2023-2024/176 DT 08.09.23][2023_BSNL_167125_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Project||DGM, SMA, Pune","25,00,000"
08-Sep-2023 06:00 PM,16-Sep-2023 06:00 PM,18-Sep-2023 10:00 AM,[PUR/SEC/138/23 COOLING CENTRIFUGE] [PUR/SEC/138/23][2023_CSIR_167058_1],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR,NA
08-Sep-2023 06:00 PM,28-Sep-2023 10:30 AM,29-Sep-2023 11:00 AM,"[Procurement of spares for MDBFP Hydro coupling, Model R 18 KGS 14API] [DVC/DSTPS/TG Maint./00046][2023_DVC_167078_1]",Damodar Valley Corporation||DSTPS Andal - DVC||C and M,NA
08-Sep-2023 05:30 PM,16-Sep-2023 04:00 PM,18-Sep-2023 04:00 PM,"[Annual Maintenance Contract for Bath Tub painting in Guest Rooms at The Ashok Hotel, New Delhi] [AH/Engg-civil/AMC/Bathtub Painting /2023][2023_ITDC_167126_1]",India Tourism Development Corporation Ltd.||HeadQuarter - ITDC,"5,00,931"
08-Sep-2023 05:30 PM,15-Sep-2023 09:00 AM,16-Sep-2023 10:00 AM,[UL-HSD] [MSF/PV-1/UL-HSD/2023-24/0269][2023_YIL_167108_1],Yantra India Limited||METAL AND STEEL FACTORY - 24 PARGANAS,NA
08-Sep-2023 05:30 PM,20-Sep-2023 02:00 PM,21-Sep-2023 02:30 PM,[AMC FOR HIGH PRESSURE HOMOGENIZER] [CFTRI/80156/23-24][2023_CSIR_167054_1],Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,NA
08-Sep-2023 05:15 PM,21-Sep-2023 10:00 AM,22-Sep-2023 10:30 AM,[Procurement of Bowl Assembly for Recovery Water Pump] [KTPS/OEM/WPIL][2023_DVC_166845_1],Damodar Valley Corporation||KTPS Koderma - DVC||C and M,NA
08-Sep-2023 05:00 PM,22-Sep-2023 05:00 PM,23-Sep-2023 05:00 PM,"[DEVELOPMENT OF ECOPARK AT BARKAKANA, DISTT. RAMGARH, JHARKHAND] [WAP/ROPEWAYS/2023-24/01][2023_WAPCO_167070_1]",WAPCOS Limited||Centre for Infrastructure Development||Ropeways - CID,"1,18,87,065"
08-Sep-2023 05:00 PM,22-Sep-2023 05:00 PM,23-Sep-2023 05:00 PM,"[DEVELOPMENT OF ECOPARK AT B and K, DISTT. BOKARO, JHARKHAND] [WAP/ROPEWAYS/2023-24/06][2023_WAPCO_167049_1]",WAPCOS Limited||Centre for Infrastructure Development||Ropeways - CID,"2,09,48,895"
08-Sep-2023 05:00 PM,18-Sep-2023 12:00 PM,19-Sep-2023 12:00 PM,[Tit bit repair maintenance and painting work at CHP administrative building including renovation of toilet blocks of the same at DVC RTPS] [DVC/TENDER/HQ/CIVIL/00029][2023_DVC_167051_1],Damodar Valley Corporation||RTPS Raghunathpur - DVC||C and M,"7,42,735"
08-Sep-2023 05:00 PM,14-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,[EEE-III/RZ/TC/2023-24/08.1] [EEE-III/RZ/TC/2023-24/08.1][2023_MCD_167085_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,"3,48,172"
08-Sep-2023 05:00 PM,18-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,"[E-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., for BELAPUR-VASHI EB Connectivity 48 F OF Cable] [NIT19/CNTXW/MBI/Belapur-Vashi /23-24/ dtd 8-9-23][2023_BSNL_167109_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||GMM,WTR Mumbai/ DGMM WTR Thane||SDE Admin, Thane","4,38,967"
08-Sep-2023 05:00 PM,15-Sep-2023 05:00 PM,18-Sep-2023 05:00 PM,[E-Tender for award of License to Operate Snack Bar Services (Departure) at Gwalior Airport] [ CL-12018/13/2023-APD-NR-AGRA ][2023_AAI_167100_1],Airports Authority of India||Northern Region - AAI||AGRA - AAI||COMMERCIAL-AGRA - AAI,"30,555"
